0, 0, 2, 0, 0, 2, 0, X, 2, 0, X, 2, 0, 0, 2
0, X, X, 0, 0, X, X, 0, 0, X, X, 0, 0, X, X
2, X, 3, 0, 2, X, 3, 0, 2, X, 3, 0, 2, X, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
X, X, X, X, 0, X, X, 0, 0, X, X, 0, 0, X, X
2, 0, 3, 0, 2, 0, 3, 0, 2, 0, 3, 0, 2, X, 3
0, 0, 0, 0, 0, 0, 0, X, 0, 0, X, 0, 0, 0, 0
0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2
0, X, X, 0, 0, X, X, 0, 0, X, X, 0, 0, X, X
2, X, 3, 0, 2, X, 3, 0, 2, X, 3, 0, 2, X, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, X, 0, 0, 0, 0, X, 0, 0, 0, X, 0, 0, 0, X
2, 0, 3, 0, 2, 0, 3, 0, 2, 0, 3, 0, 2, 0, 3
0, X, X, 0, X, X, 0, X, X, 0, X, X, 0, X, X
0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2
